Community Name,Description,Date,
City of Lancaster/Lancaster Township,"two muni that have population relationships, municipal and school governance relationships. Too big to likely be one district, but
Lancaster Twp should not be divided into rural districts - currently it is in 4 legislative districts unrelated to the non-contiguity of
the muni boundaries itself.","27 Jul, 2021",
Millersville,"A college town that is currently in a deep rural district has more in common with the western suburbs of the city of Lancaster
than it does with Quarryville.","27 Jul, 2021",
Bucks County,"Congressional districts will be bigger in terms of population than before because we only have 17 seats. Bucks County should be
kept whole and combined with parts of mid-to-lower Montgomery County which has similar socioeconomic issues challenges.","27 Jul, 2021",
Greater Harrisburg economic region,Dauphin Metropolitan & Cumberland counties.,"28 Jul, 2021",
a random neighborhood,testing functionality of site,"28 Jul, 2021",
2nd ward city of pittsburgh,Multi cultural area of the city of Pittsburgh,"31 Jul, 2021",
City of Pittsburgh,All of downtown,"01 Aug, 2021",
Centre Region Council of Governments,"Organization among several townships to effectively coordinate mujltiple governmental and civic services across the Centre
Region - e.g. building codes, zoning, police and emergency services, recreational offerings, libraries, and others. This region
should not be split and doled out among congressional districts with far flung constituencies who may have little in common
with the Centre Region, as has been the case with the last round of US Congressional districts.","01 Aug, 2021",
Centre Region Council of Governments,"Organization among several townships to effectively coordinate mujltiple governmental and civic services across the Centre
Region - e.g. building codes, zoning, police and emergency services, recreational offerings, libraries, and others. This region
should not be split and doled out among congressional districts with far flung constituencies who may have little in common
with the Centre Region, as has been the case with the last round of US Congressional districts.","01 Aug, 2021",
State College Area School District,"State College Area School District, which roughly corresponds with the township boundaries of the Centre Region Council of
Governments - e.g. Patton, Harris, Halfmoon, Ferguson, College Townships and State College Borough. Parents, students and
members of this community share a common interest that should not be split and diluted across multiple US congressional
districts as has been the case with the current (2018) congressional district map.","02 Aug, 2021",
Buckingham Township,The Township of Buckingham's boundaries. Please keep it intact.,"02 Aug, 2021",
Doylestown Borough,Historic Doylestown Borough should not be divided.,"02 Aug, 2021",
New Hope,"Quirky, diverse New Hope Borough should remain intact.","02 Aug, 2021",
Bucks County,Keep the county as a single legislative district,"02 Aug, 2021",
"Cameron, Elk, McKean, Potter Counties","These counties are similar in demographic, economy, rural populations and distance from major urban areas.","03 Aug, 2021",
Lawrenceville,This boundary feels inclusive of who I consider neighbors,"03 Aug, 2021",
Central Montgomery County,"Montgomery county will need to be split because of population, but this area defines the central portion. Outlying areas of
montco can be given to lehigh valley and philadelphia.","03 Aug, 2021",
Redbank Valley,"Although part of two counties and divided by the Red Bank Creek, this area consists of the Redbank Valley School District. They
also share several post offices across the county lines -- Mayport, Hawthorn, New Bethlehem, etc.","03 Aug, 2021",
Beaver County,Divide by counties seems to make it alot easier,"03 Aug, 2021",
Mon Valley/Southwestern PA area,"includes the counties of Greene, Washington, Fayette, Westmoreland, and Indiana. This would incorporate a population of
approximately 800,000 Pennsylvanians across the Mon Valley region and be broken up along already existing county boundaries
and would be in many ways comparable to Representative Reschenthaler's 14th District.","03 Aug, 2021",
Hatfield Township,Where I live and vote,"03 Aug, 2021",
Delaware County,"Delaware County, Pa","03 Aug, 2021",
Franklin & Marshall College,My employer and home to hundreds of students who actively vote when they are enrolled here.,"03 Aug, 2021",
Montco & Delco,Greater suburbs east of Philadelphia,"04 Aug, 2021",
Greater Lebanon Area,Lebanon County among shared similar areas,"04 Aug, 2021",
Hershey/Middletown,"Hershey, Middletown and surrounding suburban and rural areas.","04 Aug, 2021",
"Clarion Borough, Clarion County, Pa.
16214","Small college town in an economically declining community. Many challenges. Clarion University is one of the final large
employers, as is the local Hospital. The Downtown is in decline, as are the roads in Clarion Borough. It my hope that the
University does not continue to downsize. It would be devastating for our community.","04 Aug, 2021",
Lackawaxen River Valley,"The valley and nearby settlements surrounding the Lackawaxen River, connecting the largest towns in the area, Honesdale and
Hawley.","04 Aug, 2021",
Montco & Delco,Eastern suburbs of Philadelphia,"04 Aug, 2021",
NEPA,This should be the new congressional district,"05 Aug, 2021",
Harmar Heights,Above Acmetonia,"05 Aug, 2021",
Harmar Heights,Above Acmetonia area,"05 Aug, 2021",
Chamberasburg - Chambersburg West,"St. Thomas Twp., Hamilton Twp, Chambersburg Boro, Greene Twp., Guilford Twp.","05 Aug, 2021",
Canon Mac School District,"cecil twp, canonsburg borough, and north strabane township","05 Aug, 2021",
Southwestern Butler County,"This area of cranberry township, adams township, seven fields, mars, callery , and valencia is considered southwestern butler
county. It included many areas that more closely resemble northern allegheny county than the rest of butler county and i think
should be districted the same.","05 Aug, 2021",
Upper Dublin Township,"My township should not be divided. All residents of the township even though some of the postal address say Ambler should be
included","06 Aug, 2021",
Oakmont/Verona,Oakmont/Verona area.,"06 Aug, 2021",
Upper Montgomery County plus,"Includes Perkiomen Creek from Green Lane reservoir to 422 at Schuylkill river, Harleysville, Skippack, Collegeville, Norristown,
Royersford, Limerick, Schwenksville, Spring Mount and all of Spring Mountain.","06 Aug, 2021",
Country living people,"Collection of ""country folks"" AND some newcomers from York county/MD","06 Aug, 2021",
Church included,Country lifestyles with healthy dose of OUTSIDERS opinions,"06 Aug, 2021",
Lower Paxton Township,"LPT is presently yoked to parts of Swatara Township and West Hanover Township to create a Republican seat. So, too, is
Susquehanna Township linked to Middle Paxton Township and parts of Northern Dauphin County to create another Republican
seat. LPT and Susquehanna Township are contiguous, vote Democratic, and are composed of similar, diverse constituencies. They
should be able to have appropriate representation.","06 Aug, 2021",
Ross,"This is the Neighborhood of Ross. I can't believe the next district is 100 feet from my house on the same street. That doesn't
make sense.","06 Aug, 2021",
Lancaster/York Counties,Where I live and have relatives.,"06 Aug, 2021",
Somerset Township,The township provides for the majority of businesses in the Somerset Area,"06 Aug, 2021",
Frazer,Local townships where I live,"06 Aug, 2021",
